city_id,city_name,country,continent,centroid_lon,centroid_lat,population_2020,area_km2,dominant_mode,archetype,pct_horizontal,pct_vertical,pct_combined,pct_stable,pct_decline,mean_delta_height_m,mean_delta_built_fraction,total_delta_volume_proxy,vh_ratio,city_typology_stability_mean,city_typology_stability_ge70_pct,data_quality_flag
Africa_+17838+5174,Bechar,Algeria,Africa,-2.224206725984762,31.6064195447599,161084.6074079177,51.88353823132584,horizontal,horizontal,74.45132245357344,0.4220596510973551,5.683736634777715,0.4783342712436691,18.964546989307824,-0.4435037303051388,0.0180997730297099,-0.4068615907553976,0.0056689342403628,0.652034074722144,65.8975801913337,v2_endpoint_shards
Africa_+17890+4799,Maghnia,Algeria,Africa,-1.7261485792036897,34.84291359759972,88590.11176184486,30.931575019209472,horizontal,horizontal,72.9113924050633,1.7721518987341771,9.924050632911392,1.2151898734177216,14.177215189873415,0.4447809465022027,0.0116919279941983,1.978665952136908,0.0243055555555555,0.5863653950751583,51.9493670886076,v2_endpoint_shards
Africa_+17926+4793,Tlemcen,Algeria,Africa,-1.3174211231248365,34.90141226973859,240863.25430285133,73.83411263495883,horizontal,mixed,63.048267574604445,2.8439815742038856,12.757861005407571,0.9012617664730624,20.448628079311035,0.5135444539738828,0.0119628789914475,3.784929481251538,0.0451080050825921,0.6243858589525335,58.78229521329862,v2_endpoint_shards
Africa_+17940+4744,Ain Temouchent,Algeria,Africa,-1.1323210921999998,35.31067761314003,96720.99482437396,25.94262540665077,horizontal,mixed,73.31655129011958,1.6991818753933292,10.698552548772811,1.132787916928886,13.1529263687854,0.405596397596759,0.0101754518400762,1.3089378709782975,0.023175965665236,0.5896889534740796,56.07300188797986,v2_endpoint_shards
Africa_+17988+5037,Ain Sefra,Algeria,Africa,-0.5874317359848932,32.75871334959695,66426.17568194075,20.9548324290082,horizontal,horizontal,78.20919175911251,1.109350237717908,6.101426307448494,1.0301109350237718,13.549920760697306,0.4505809210181803,0.0156344832365023,0.7330209295730583,0.0141843971631205,0.6059458108409271,56.57686212361331,v2_endpoint_shards
Africa_+17989+4756,Sidi Bel Abbes,Algeria,Africa,-0.622292343532367,35.197660344743305,209432.58738460165,37.91407598516375,horizontal,mixed,64.11645226811103,2.2342586323628977,10.35883547731889,1.1509817197020988,22.13947190250508,0.700433149883371,0.0125571891044612,1.6358669418117415,0.0348468848996832,0.5704766378744922,51.726472579553146,v2_endpoint_shards
Africa_+17990+4707,Oran,Algeria,Africa,-0.5991361684625266,35.69298067106629,1496510.179176435,260.4175356949276,horizontal,mixed,53.409665991902834,6.0855263157894735,26.726973684210527,0.923582995951417,12.854251012145747,1.5055077215505817,0.0120843799458382,25.198545619400903,0.1139405424612104,0.6146099384014423,48.4121963562753,v2_endpoint_shards
Africa_+18014+5609,Adrar,Algeria,Africa,-0.2898267661129788,27.87891068653448,89114.7839498445,33.92407848221975,horizontal,mixed,74.63149728471683,1.2024825446082237,15.865011636927852,0.6206361520558572,7.6803723816912335,0.6405801285691184,0.0273076846547746,3.059690692980279,0.0161122661122661,0.6209203987920626,50.96974398758728,v2_endpoint_shards
Africa_+18015+4947,Mecheria,Algeria,Africa,-0.2681067487010687,33.5489104456579,66034.823286711,25.94173112909964,horizontal,mixed,74.59070072036673,2.0301244269810086,11.329404060248851,1.1787819253438114,10.870988867059594,0.5571694761299978,0.0200979787545364,1.2737815865418725,0.0272168568920105,0.6315084581056606,57.56385068762279,v2_endpoint_shards
Africa_+18024+4717,Sig,Algeria,Africa,-0.1966666290944334,35.52651490796855,51771.2215110405,12.970407831482476,horizontal,mixed,68.41517857142857,3.013392857142857,10.9375,1.3392857142857142,16.294642857142858,0.7253972228084292,0.0116181349534494,0.7334058261785685,0.0440456769983686,0.5591425895690918,47.20982142857143,v2_endpoint_shards
