product_key,n_versions,n_cog,n_non_cog,first_month,first_name
S1A_IW_GRDH_1SDH_20190911T145537_20190911T145602_028975_03494E_CF32,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190911T145537_20190911T145602_028975_03494E_CF32.SAFE
S1A_IW_GRDH_1SDH_20190929T034015_20190929T034044_029230_03520E_6CBC,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190929T034015_20190929T034044_029230_03520E_6CBC.SAFE
S1A_IW_GRDH_1SDH_20190929T034044_20190929T034109_029230_03520E_0FDA,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190929T034044_20190929T034109_029230_03520E_0FDA.SAFE
S1A_IW_GRDH_1SDH_20190929T034159_20190929T034224_029230_03520E_2BBB,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190929T034159_20190929T034224_029230_03520E_2BBB.SAFE
S1A_IW_GRDH_1SDH_20190929T090826_20190929T090855_029234_03522F_80B7,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190929T090826_20190929T090855_029234_03522F_80B7.SAFE
S1A_IW_GRDH_1SDH_20190929T091035_20190929T091100_029234_03522F_6CDF,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190929T091035_20190929T091100_029234_03522F_6CDF.SAFE
S1A_IW_GRDH_1SDH_20190929T091100_20190929T091125_029234_03522F_CC16,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190929T091100_20190929T091125_029234_03522F_CC16.SAFE
S1A_IW_GRDH_1SDH_20190929T091125_20190929T091150_029234_03522F_E005,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190929T091125_20190929T091150_029234_03522F_E005.SAFE
S1A_IW_GRDH_1SDH_20190929T091215_20190929T091240_029234_03522F_06E2,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190929T091215_20190929T091240_029234_03522F_06E2.SAFE
S1A_IW_GRDH_1SDH_20190929T091510_20190929T091535_029234_03522F_2485,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190929T091510_20190929T091535_029234_03522F_2485.SAFE
S1A_IW_GRDH_1SDH_20190929T122703_20190929T122728_029236_035247_068D,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190929T122703_20190929T122728_029236_035247_068D.SAFE
S1A_IW_GRDH_1SDV_20180322T000133_20180322T000158_021120_0244B7_71C8,2,0,2,2018-03,S1A_IW_GRDH_1SDV_20180322T000133_20180322T000158_021120_0244B7_71C8.SAFE
S1A_IW_GRDH_1SDV_20180322T014007_20180322T014032_021121_0244BF_F18F,2,0,2,2018-03,S1A_IW_GRDH_1SDV_20180322T014007_20180322T014032_021121_0244BF_F18F.SAFE
S1A_IW_GRDH_1SDV_20180322T014147_20180322T014212_021121_0244BF_5A7C,2,0,2,2018-03,S1A_IW_GRDH_1SDV_20180322T014147_20180322T014212_021121_0244BF_5A7C.SAFE
S1A_IW_GRDH_1SDV_20180322T044621_20180322T044650_021123_0244CC_5050,2,0,2,2018-03,S1A_IW_GRDH_1SDV_20180322T044621_20180322T044650_021123_0244CC_5050.SAFE
S1A_IW_GRDH_1SDV_20180322T044945_20180322T045010_021123_0244CC_AE22,2,0,2,2018-03,S1A_IW_GRDH_1SDV_20180322T044945_20180322T045010_021123_0244CC_AE22.SAFE
S1A_IW_GRDH_1SDV_20180322T045035_20180322T045100_021123_0244CC_46FC,2,0,2,2018-03,S1A_IW_GRDH_1SDV_20180322T045035_20180322T045100_021123_0244CC_46FC.SAFE
S1A_IW_GRDH_1SDV_20180322T045445_20180322T045510_021123_0244CC_C1DE,2,0,2,2018-03,S1A_IW_GRDH_1SDV_20180322T045445_20180322T045510_021123_0244CC_C1DE.SAFE
S1A_IW_GRDH_1SDV_20180322T045600_20180322T045625_021123_0244CC_06B4,2,0,2,2018-03,S1A_IW_GRDH_1SDV_20180322T045600_20180322T045625_021123_0244CC_06B4.SAFE
S1A_IW_GRDH_1SDV_20180322T045747_20180322T045812_021123_0244CD_05BD,2,0,2,2018-03,S1A_IW_GRDH_1SDV_20180322T045747_20180322T045812_021123_0244CD_05BD.SAFE
