city_id,city_name,country,continent,centroid_lon,centroid_lat,s1_ri_score,mean_monthly_acquisitions_2017_2026,fraction_months_with_observation
Africa_+17838+5174,Bechar,Algeria,Africa,-2.224206725984762,31.6064195447599,0.8993471282318238,8.345132743362832,1.0
Africa_+17890+4799,Maghnia,Algeria,Africa,-1.7261485792036897,34.84291359759972,0.979204107830552,18.57522123893805,1.0
Africa_+17926+4793,Tlemcen,Algeria,Africa,-1.3174211231248365,34.90141226973859,0.976453488372093,16.15929203539823,1.0
Africa_+17940+4744,Ain Temouchent,Algeria,Africa,-1.1323210921999998,35.31067761314003,0.9728356336260978,17.221238938053098,1.0
Africa_+17988+5037,Ain Sefra,Algeria,Africa,-0.5874317359848932,32.75871334959695,0.8947179876407639,7.761061946902655,1.0
Africa_+17989+4756,Sidi Bel Abbes,Algeria,Africa,-0.622292343532367,35.197660344743305,0.8923659157951193,7.902654867256637,1.0
Africa_+17990+4707,Oran,Algeria,Africa,-0.5991361684625266,35.69298067106629,0.9690277777777776,14.787610619469026,1.0
Africa_+18014+5609,Adrar,Algeria,Africa,-0.2898267661129788,27.87891068653448,0.296976401179941,1.6814159292035398,0.6548672566371682
Africa_+18015+4947,Mecheria,Algeria,Africa,-0.2681067487010687,33.5489104456579,0.754019174041298,4.876106194690266,1.0
Africa_+18024+4717,Sig,Algeria,Africa,-0.1966666290944334,35.52651490796855,0.9121031955562126,9.132743362831858,1.0
Africa_+18026+4686,Ain el Bya,Algeria,Africa,-0.2902429590365097,35.82337341129797,0.8925502815768303,7.911504424778761,1.0
Africa_+18047+4712,Mohammadia,Algeria,Africa,0.0663553335313036,35.5829315860487,0.9758068197780588,11.929203539823009,1.0
Africa_+18050+4735,Mascara,Algeria,Africa,0.1293352017362427,35.397498683142736,0.970828943671864,11.690265486725664,1.0
Africa_+18054+4797,Saida,Algeria,Africa,0.1516276407769863,34.85416035297484,0.8643807422809375,8.424778761061948,1.0
Africa_+18056+4681,Mostaganem,Algeria,Africa,0.2048548663648036,35.91831099643265,0.9765261627906976,16.20353982300885,1.0
Africa_+18069+4704,Relizane,Algeria,Africa,0.2849286907500343,35.76462405676351,0.9765261627906976,16.530973451327434,1.0
Africa_+18089+5020,El Abiodh Sidi Cheikh,Algeria,Africa,0.5478709290875658,32.90440342698509,0.7807153392330384,6.557522123893805,1.0
Africa_+18092+4696,Relizane,Algeria,Africa,0.5520266043489276,35.73213637759846,0.9765261627906976,16.43362831858407,1.0
Africa_+18110+4655,Mazouna,Algeria,Africa,0.8438620252766533,36.10878707000713,0.9812714776632302,21.07079646017699,1.0
Africa_+18114+4671,Oued Rhiou,Algeria,Africa,0.8899075631919083,35.950093456383854,0.9765647743813682,16.20353982300885,1.0
Africa_+18127+4644,'Ain Merane,Algeria,Africa,0.9571903791153265,36.18705390444388,0.9752777777777776,12.68141592920354,1.0
Africa_+18135+4770,Frenda,Algeria,Africa,1.0525328536114562,35.06253037294527,0.97184,14.079646017699115,1.0
Africa_+18138+4657,Chlef,Algeria,Africa,1.3002794938324804,36.149411046673634,0.9787974683544304,15.097345132743364,1.0
Africa_+18156+4740,Tiaret,Algeria,Africa,1.3304606255008309,35.35902740445095,0.8939293188971835,8.08849557522124,1.0
Africa_+18173+4758,Sougueur,Algeria,Africa,1.499694528980617,35.18352598005278,0.8915325637349417,7.9734513274336285,1.0
Africa_+18176+4696,Lardjem,Algeria,Africa,1.555701559915578,35.75402461278014,0.9112224535832032,9.150442477876108,1.0
Africa_+18181+4652,Oued Fodda,Algeria,Africa,1.5857408770642756,36.19186643122647,0.8989071950033782,8.327433628318584,1.0
Africa_+18202+4710,Tissemsilt,Algeria,Africa,1.816209989401675,35.599552993396706,0.8915325637349417,7.9734513274336285,1.0
Africa_+18217+4644,Ain Defla,Algeria,Africa,2.09177550791127,36.24649942539648,0.9330243011658942,10.194690265486726,1.0
Africa_+18230+4880,Aflou,Algeria,Africa,2.0975618733222023,34.110480696845386,0.8988938053097345,8.389380530973451,1.0
Africa_+18242+4598,Cherchell,Algeria,Africa,2.196381474834881,36.59002843195839,0.9349389460799068,10.29203539823009,1.0
Africa_+18246+4753,Ksar Chellala,Algeria,Africa,2.315086474075821,35.216668732253986,0.972016129032258,13.893805309734514,1.0
Africa_+18263+4617,Baraki,Algeria,Africa,3.0497107285630274,36.65512368797322,0.9726932668329176,18.58407079646018,1.0
Africa_+18282+4634,Medea,Algeria,Africa,2.7551242995727168,36.26784239581852,0.9719806763285024,14.442477876106194,1.0
Africa_+18284+4678,Ksar el Boukhari,Algeria,Africa,2.7421303166520645,35.88419134622781,0.9729508196721312,17.371681415929203,1.0
Africa_+18293+4918,Laghouat,Algeria,Africa,2.86490345395746,33.80273804255152,0.9312246759529904,10.168141592920351,1.0
Africa_+18299+4728,Ain Oussera,Algeria,Africa,2.9075796366735047,35.44587759532364,0.972016129032258,14.371681415929205,1.0
