city_id,city_name,country,continent,centroid_lon,centroid_lat,population_2020,area_km2,dominant_mode,archetype,data_quality_flag,n_months,mean_monthly_acquisitions_2017_2026,median_monthly_acquisitions_2017_2026,min_monthly_acquisitions_2017_2026,max_monthly_acquisitions_2017_2026,fraction_months_with_observation,fraction_months_with_dual_pol_coverage,fraction_months_with_both_asc_desc,mean_monthly_s1a,mean_monthly_s1b,mean_monthly_s1c,mean_monthly_s1d,longest_observation_gap_days,longest_gap_metric_basis,pre_1b_baseline_mean_monthly_count_2019_2021,single_satellite_era_mean_monthly_count_2022_2024,recovery_era_mean_monthly_count_2025_2026,pre_1b_fraction_months_observed_2019_2021,single_satellite_fraction_months_observed_2022_2024,recovery_fraction_months_observed_2025_2026,recovery_fraction_months_with_s1c_or_s1d_2025_2026,loss_after_1b_failure_2022_2024_minus_2019_2021,relative_loss_after_1b_failure,single_to_pre_1b_ratio,recovery_delta_2025_2026_minus_2022_2024,recovery_to_single_satellite_ratio,score_component_mean_acquisition,score_component_observation_continuity,score_component_gap,score_component_dual_pol,score_component_orbit_diversity,score_component_1b_shock_resilience,s1_ri_score,s1_ri_score_equal_weight_sensitivity,source_inventory_version,analysis_month_start,analysis_month_end
Africa_+17838+5174,Bechar,Algeria,Africa,-2.224206725984762,31.6064195447599,161084.6074079177,51.88353823132584,horizontal,horizontal,v2_endpoint_shards,113,8.345132743362832,9.0,3,16,1.0,1.0,1.0,5.053097345132743,2.601769911504425,0.6106194690265486,0.07964601769911504,0,monthly_zero_observation_run_days,9.916666666666666,5.055555555555555,9.647058823529411,1.0,1.0,1.0,0.8823529411764706,-4.861111111111111,0.49019607843137253,0.5098039215686274,4.591503267973856,1.9082094376212022,0.6954277286135694,1.0,1.0,1.0,1.0,0.5098039215686274,0.8993471282318238,0.8675386083636996,copernicus_odata_s1_iw_grdh_201701_202605_v1,2017-01,2026-05
Africa_+17890+4799,Maghnia,Algeria,Africa,-1.7261485792036897,34.84291359759972,88590.11176184486,30.931575019209472,horizontal,horizontal,v2_endpoint_shards,113,18.575221238938052,20.0,11,33,1.0,1.0,1.0,12.08849557522124,5.106194690265487,1.247787610619469,0.13274336283185842,0,monthly_zero_observation_run_days,21.63888888888889,12.63888888888889,21.764705882352942,1.0,1.0,1.0,0.8823529411764706,-9.0,0.4159178433889602,0.5840821566110398,9.125816993464053,1.722042663219134,1.0,1.0,1.0,1.0,1.0,0.5840821566110398,0.9792041078305519,0.9306803594351734,copernicus_odata_s1_iw_grdh_201701_202605_v1,2017-01,2026-05
Africa_+17926+4793,Tlemcen,Algeria,Africa,-1.3174211231248365,34.90141226973859,240863.25430285133,73.83411263495883,horizontal,mixed,v2_endpoint_shards,113,16.15929203539823,18.0,9,31,1.0,1.0,1.0,9.672566371681416,5.106194690265487,1.247787610619469,0.13274336283185842,0,monthly_zero_observation_run_days,19.11111111111111,10.11111111111111,19.235294117647058,1.0,1.0,1.0,0.8823529411764706,-9.0,0.47093023255813954,0.5290697674418604,9.124183006535947,1.9023917259211376,1.0,1.0,1.0,1.0,1.0,0.5290697674418604,0.976453488372093,0.9215116279069767,copernicus_odata_s1_iw_grdh_201701_202605_v1,2017-01,2026-05
Africa_+17940+4744,Ain Temouchent,Algeria,Africa,-1.1323210921999998,35.31067761314003,96720.99482437396,25.94262540665077,horizontal,mixed,v2_endpoint_shards,113,17.221238938053098,20.0,9,31,1.0,1.0,1.0,10.150442477876107,5.699115044247788,1.238938053097345,0.13274336283185842,0,monthly_zero_observation_run_days,22.13888888888889,10.11111111111111,19.176470588235293,1.0,1.0,1.0,0.8823529411764706,-12.027777777777779,0.5432873274780426,0.4567126725219573,9.065359477124183,1.896574014221073,1.0,1.0,1.0,1.0,1.0,0.4567126725219573,0.9728356336260978,0.909452112086993,copernicus_odata_s1_iw_grdh_201701_202605_v1,2017-01,2026-05
Africa_+17988+5037,Ain Sefra,Algeria,Africa,-0.5874317359848932,32.75871334959695,66426.17568194075,20.9548324290082,horizontal,horizontal,v2_endpoint_shards,113,7.761061946902655,7.0,4,20,1.0,1.0,1.0,5.398230088495575,1.3185840707964602,0.9380530973451328,0.10619469026548672,0,monthly_zero_observation_run_days,7.611111111111111,5.027777777777778,11.941176470588236,1.0,1.0,1.0,0.8823529411764706,-2.583333333333333,0.33941605839416056,0.6605839416058394,6.913398692810458,2.3750406239844004,0.6467551622418879,1.0,1.0,1.0,1.0,0.6605839416058394,0.8947179876407639,0.8845565173079546,copernicus_odata_s1_iw_grdh_201701_202605_v1,2017-01,2026-05
Africa_+17989+4756,Sidi Bel Abbes,Algeria,Africa,-0.622292343532367,35.197660344743305,209432.58738460165,37.91407598516375,horizontal,mixed,v2_endpoint_shards,113,7.902654867256637,8.0,4,15,1.0,1.0,1.0,4.628318584070796,2.5929203539823007,0.6194690265486725,0.061946902654867256,0,monthly_zero_observation_run_days,9.166666666666666,5.083333333333333,9.529411764705882,1.0,1.0,1.0,0.8823529411764706,-4.083333333333333,0.44545454545454544,0.5545454545454546,4.446078431372549,1.8746383799421409,0.6585545722713865,1.0,1.0,1.0,1.0,0.5545454545454546,0.8923659157951193,0.8688500044694735,copernicus_odata_s1_iw_grdh_201701_202605_v1,2017-01,2026-05
Africa_+17990+4707,Oran,Algeria,Africa,-0.5991361684625266,35.69298067106629,1496510.179176435,260.4175356949276,horizontal,mixed,v2_endpoint_shards,113,14.787610619469026,17.0,7,29,1.0,1.0,1.0,7.8053097345132745,5.6371681415929205,1.2123893805309736,0.13274336283185842,0,monthly_zero_observation_run_days,20.0,7.611111111111111,16.470588235294116,1.0,1.0,1.0,0.8823529411764706,-12.38888888888889,0.6194444444444445,0.38055555555555554,8.859477124183005,2.164018892228424,1.0,1.0,1.0,1.0,1.0,0.38055555555555554,0.9690277777777777,0.8967592592592593,copernicus_odata_s1_iw_grdh_201701_202605_v1,2017-01,2026-05
Africa_+18014+5609,Adrar,Algeria,Africa,-0.2898267661129788,27.87891068653448,89114.7839498445,33.92407848221975,horizontal,mixed,v2_endpoint_shards,113,1.6814159292035398,2.0,0,4,0.6548672566371682,0.6548672566371682,0.0,0.0,1.3539823008849559,0.30973451327433627,0.017699115044247787,1186,monthly_zero_observation_run_days,2.5277777777777777,0.0,2.176470588235294,1.0,0.0,0.8235294117647058,0.8235294117647058,-2.5277777777777777,1.0,0.0,2.176470588235294,,0.140117994100295,0.6548672566371682,0.0,0.6548672566371682,0.0,0.0,0.296976401179941,0.24164208456243855,copernicus_odata_s1_iw_grdh_201701_202605_v1,2017-01,2026-05
Africa_+18015+4947,Mecheria,Algeria,Africa,-0.2681067487010687,33.5489104456579,66034.823286711,25.94173112909964,horizontal,mixed,v2_endpoint_shards,113,4.876106194690266,5.0,2,12,1.0,1.0,0.2743362831858407,2.8761061946902653,1.3185840707964602,0.6194690265486725,0.061946902654867256,0,monthly_zero_observation_run_days,5.055555555555555,2.5277777777777777,7.0,1.0,1.0,1.0,0.8823529411764706,-2.5277777777777777,0.5,0.5,4.472222222222222,2.769230769230769,0.4063421828908555,1.0,1.0,1.0,0.2743362831858407,0.5,0.754019174041298,0.6967797443461161,copernicus_odata_s1_iw_grdh_201701_202605_v1,2017-01,2026-05
Africa_+18024+4717,Sig,Algeria,Africa,-0.1966666290944334,35.52651490796855,51771.2215110405,12.970407831482476,horizontal,mixed,v2_endpoint_shards,113,9.132743362831858,10.0,4,15,1.0,1.0,1.0,4.628318584070796,3.8053097345132745,0.6283185840707964,0.07079646017699115,0,monthly_zero_observation_run_days,11.63888888888889,5.083333333333333,9.647058823529411,1.0,1.0,1.0,0.8823529411764706,-6.555555555555556,0.5632458233890215,0.4367541766109785,4.563725490196078,1.8977820636451301,0.7610619469026548,1.0,1.0,1.0,1.0,0.4367541766109785,0.9121031955562126,0.8663026872522722,copernicus_odata_s1_iw_grdh_201701_202605_v1,2017-01,2026-05
