continent,n_cities,mean_s1_ri,median_s1_ri,mean_monthly_acquisitions,mean_pre_1b_2019_2021,mean_single_satellite_2022_2024,mean_loss_after_1b,mean_recovery_2025_2026,mean_recovery_delta,mean_fraction_months_observed,median_longest_gap_days
Africa,1145,0.7601463779954969,0.7579646017699117,5.631788847238861,6.473774866569626,4.249029597282872,-2.224745269286754,6.4455689699460565,2.1965393726631848,0.9766047068825598,0.0
Latin_America,724,0.6847995067199566,0.7109181010729684,4.87586173177529,5.36134131368938,3.5052946593001844,-1.8560466543891958,6.843841403964901,3.3385467446647166,0.9311959125800616,0.0
South_Asia,1143,0.7711123906600423,0.7494690581994505,5.406142816218769,5.6164333624963545,5.310999319529504,-0.30543404296685134,5.590448252791931,0.2794489332624272,0.9907246107510899,0.0
Southeast_Asia,455,0.8498237407794357,0.8558931497869551,7.245103568997374,8.417826617826618,5.941452991452992,-2.4763736263736265,7.731997414350356,1.790544422897364,0.9974521054167073,0.0
