city_id,city_name,country,continent,W0_baseline,W1_equal,W2_gap_heavy,W3_continuity_heavy,W4_coverage_only,W5_dualpol_heavy,W6_no_1b_shock
Africa_+17838+5174,Bechar,Algeria,Africa,0.8993471282318238,0.8675386083636994,0.9145757418011452,0.8841185146625024,0.8933997050147493,0.9145757418011452,0.9162426253687317
Africa_+17890+4799,Maghnia,Algeria,Africa,0.979204107830552,0.9306803594351732,0.9792041078305519,0.979204107830552,1.0,0.9792041078305519,1.0
Africa_+17926+4793,Tlemcen,Algeria,Africa,0.976453488372093,0.9215116279069766,0.976453488372093,0.9764534883720931,1.0,0.976453488372093,1.0
Africa_+17940+4744,Ain Temouchent,Algeria,Africa,0.9728356336260978,0.9094521120869928,0.9728356336260978,0.9728356336260979,1.0,0.9728356336260978,1.0
Africa_+17988+5037,Ain Sefra,Algeria,Africa,0.8947179876407639,0.8845565173079545,0.9123802295286695,0.8770557457528585,0.8763643067846607,0.9123802295286695,0.9028576696165191
Africa_+17989+4756,Sidi Bel Abbes,Algeria,Africa,0.8923659157951193,0.8688500044694734,0.9094381871815499,0.8752936444086887,0.8804941002949853,0.90943818718155,0.9061025073746314
Africa_+17990+4707,Oran,Algeria,Africa,0.9690277777777776,0.8967592592592591,0.9690277777777777,0.9690277777777778,1.0,0.9690277777777777,1.0
Africa_+18014+5609,Adrar,Algeria,Africa,0.296976401179941,0.24164208456243852,0.22448377581120943,0.33672566371681417,0.2782448377581121,0.38820058997050144,0.3168510324483776
Africa_+18015+4947,Mecheria,Algeria,Africa,0.754019174041298,0.696779744346116,0.7837020648967552,0.7606194690265488,0.7922197640117994,0.7837020648967552,0.7641777286135695
Africa_+18024+4717,Sig,Algeria,Africa,0.9121031955562126,0.8663026872522721,0.9240500982110799,0.9001562929013455,0.9163716814159291,0.9240500982110799,0.9342920353982301
Africa_+18026+4686,Ain el Bya,Algeria,Africa,0.8925502815768303,0.868972914990614,0.9095856798069187,0.8755148833467419,0.8807522123893805,0.9095856798069187,0.9063053097345133
