city_id,city_name,country,continent,mean_monthly_acquisitions_2017_2026,score_component_mean_acquisition,s1_ri_score,mean_monthly_acquisitions_plus1,score_component_mean_acquisition_plus1,s1_ri_score_plus1,s1_ri_delta_plus1,mean_monthly_acquisitions_minus1,score_component_mean_acquisition_minus1,s1_ri_score_minus1,s1_ri_delta_minus1
Africa_+17838+5174,Bechar,Algeria,Africa,8.345132743362832,0.6954277286135694,0.8993471282318238,9.345132743362832,0.7787610619469026,0.9201804615651571,0.02083333333333326,7.345132743362832,0.612094395280236,0.8785137948984904,-0.02083333333333348
Africa_+17890+4799,Maghnia,Algeria,Africa,18.57522123893805,1.0,0.979204107830552,19.57522123893805,1.0,0.9792041078305519,-1.1102230246251565e-16,17.57522123893805,1.0,0.9792041078305519,-1.1102230246251565e-16
Africa_+17926+4793,Tlemcen,Algeria,Africa,16.15929203539823,1.0,0.976453488372093,17.15929203539823,1.0,0.976453488372093,0.0,15.15929203539823,1.0,0.976453488372093,0.0
Africa_+17940+4744,Ain Temouchent,Algeria,Africa,17.221238938053098,1.0,0.9728356336260978,18.221238938053098,1.0,0.9728356336260978,0.0,16.221238938053098,1.0,0.9728356336260978,0.0
Africa_+17988+5037,Ain Sefra,Algeria,Africa,7.761061946902655,0.6467551622418879,0.8947179876407639,8.761061946902654,0.7300884955752212,0.9155513209740972,0.02083333333333326,6.761061946902655,0.5634218289085545,0.8738846543074307,-0.02083333333333326
Africa_+17989+4756,Sidi Bel Abbes,Algeria,Africa,7.902654867256637,0.6585545722713865,0.8923659157951193,8.902654867256636,0.7418879056047197,0.9131992491284527,0.02083333333333348,6.902654867256637,0.5752212389380531,0.871532582461786,-0.02083333333333326
Africa_+17990+4707,Oran,Algeria,Africa,14.787610619469026,1.0,0.9690277777777776,15.787610619469026,1.0,0.9690277777777777,1.1102230246251565e-16,13.787610619469026,1.0,0.9690277777777777,1.1102230246251565e-16
Africa_+18014+5609,Adrar,Algeria,Africa,1.6814159292035398,0.140117994100295,0.296976401179941,2.6814159292035398,0.2234513274336283,0.3178097345132743,0.020833333333333315,0.6814159292035398,0.05678466076696165,0.2761430678466077,-0.020833333333333315
Africa_+18015+4947,Mecheria,Algeria,Africa,4.876106194690266,0.4063421828908555,0.754019174041298,5.876106194690266,0.4896755162241888,0.7748525073746313,0.02083333333333326,3.8761061946902657,0.3230088495575221,0.7331858407079647,-0.02083333333333337
Africa_+18024+4717,Sig,Algeria,Africa,9.132743362831858,0.7610619469026548,0.9121031955562126,10.132743362831858,0.8443952802359882,0.932936528889546,0.02083333333333348,8.132743362831858,0.6777286135693216,0.8912698622228793,-0.02083333333333326
Africa_+18026+4686,Ain el Bya,Algeria,Africa,7.911504424778761,0.6592920353982301,0.8925502815768303,8.911504424778762,0.7426253687315635,0.9133836149101636,0.02083333333333337,6.911504424778761,0.5759587020648967,0.8717169482434969,-0.02083333333333337
Africa_+18047+4712,Mohammadia,Algeria,Africa,11.929203539823009,0.9941002949852508,0.9758068197780588,12.929203539823009,1.0,0.977281746031746,0.00147492625368717,10.929203539823009,0.9107669616519174,0.9549734864447255,-0.02083333333333337
Africa_+18050+4735,Mascara,Algeria,Africa,11.690265486725664,0.974188790560472,0.970828943671864,12.690265486725664,1.0,0.977281746031746,0.006452802359881993,10.690265486725664,0.8908554572271387,0.9499956103385307,-0.02083333333333326
Africa_+18054+4797,Saida,Algeria,Africa,8.424778761061948,0.7020648967551623,0.8643807422809375,9.424778761061948,0.7853982300884956,0.8852140756142708,0.02083333333333326,7.424778761061948,0.618731563421829,0.8435474089476043,-0.02083333333333326
Africa_+18056+4681,Mostaganem,Algeria,Africa,16.20353982300885,1.0,0.9765261627906976,17.20353982300885,1.0,0.9765261627906976,0.0,15.20353982300885,1.0,0.9765261627906976,0.0
Africa_+18069+4704,Relizane,Algeria,Africa,16.530973451327434,1.0,0.9765261627906976,17.530973451327434,1.0,0.9765261627906976,0.0,15.530973451327434,1.0,0.9765261627906976,0.0
Africa_+18089+5020,El Abiodh Sidi Cheikh,Algeria,Africa,6.557522123893805,0.5464601769911505,0.7807153392330384,7.557522123893805,0.6297935103244837,0.8015486725663719,0.02083333333333348,5.557522123893805,0.4631268436578171,0.7598820058997051,-0.02083333333333326
Africa_+18092+4696,Relizane,Algeria,Africa,16.43362831858407,1.0,0.9765261627906976,17.43362831858407,1.0,0.9765261627906976,0.0,15.43362831858407,1.0,0.9765261627906976,0.0
Africa_+18110+4655,Mazouna,Algeria,Africa,21.07079646017699,1.0,0.9812714776632302,22.07079646017699,1.0,0.9812714776632302,0.0,20.07079646017699,1.0,0.9812714776632302,0.0
Africa_+18114+4671,Oued Rhiou,Algeria,Africa,16.20353982300885,1.0,0.9765647743813682,17.20353982300885,1.0,0.9765647743813682,0.0,15.20353982300885,1.0,0.9765647743813682,0.0
Africa_+18127+4644,'Ain Merane,Algeria,Africa,12.68141592920354,1.0,0.9752777777777776,13.68141592920354,1.0,0.9752777777777777,1.1102230246251565e-16,11.68141592920354,0.9734513274336284,0.9686406096361848,-0.006637168141592764
Africa_+18135+4770,Frenda,Algeria,Africa,14.079646017699115,1.0,0.97184,15.079646017699115,1.0,0.9718399999999999,-1.1102230246251565e-16,13.079646017699115,1.0,0.9718399999999999,-1.1102230246251565e-16
Africa_+18138+4657,Chlef,Algeria,Africa,15.097345132743364,1.0,0.9787974683544304,16.097345132743364,1.0,0.9787974683544304,0.0,14.097345132743364,1.0,0.9787974683544304,0.0
Africa_+18156+4740,Tiaret,Algeria,Africa,8.08849557522124,0.6740412979351033,0.8939293188971835,9.08849557522124,0.7573746312684366,0.914762652230517,0.02083333333333348,7.0884955752212395,0.59070796460177,0.8730959855638503,-0.02083333333333326
Africa_+18173+4758,Sougueur,Algeria,Africa,7.9734513274336285,0.6644542772861357,0.8915325637349417,8.97345132743363,0.7477876106194691,0.9123658970682751,0.02083333333333337,6.9734513274336285,0.5811209439528023,0.8706992304016083,-0.02083333333333337
Africa_+18176+4696,Lardjem,Algeria,Africa,9.150442477876108,0.7625368731563422,0.9112224535832032,10.150442477876108,0.8458702064896757,0.9320557869165366,0.02083333333333337,8.150442477876108,0.6792035398230091,0.89038912024987,-0.02083333333333315
Africa_+18181+4652,Oued Fodda,Algeria,Africa,8.327433628318584,0.693952802359882,0.8989071950033782,9.327433628318584,0.7772861356932154,0.9197405283367117,0.02083333333333348,7.327433628318584,0.6106194690265486,0.878073861670045,-0.02083333333333326
Africa_+18202+4710,Tissemsilt,Algeria,Africa,7.9734513274336285,0.6644542772861357,0.8915325637349417,8.97345132743363,0.7477876106194691,0.9123658970682751,0.02083333333333337,6.9734513274336285,0.5811209439528023,0.8706992304016083,-0.02083333333333337
Africa_+18217+4644,Ain Defla,Algeria,Africa,10.194690265486726,0.8495575221238938,0.9330243011658942,11.194690265486726,0.9328908554572272,0.9538576344992274,0.02083333333333326,9.194690265486726,0.7662241887905604,0.9121909678325607,-0.02083333333333348
Africa_+18230+4880,Aflou,Algeria,Africa,8.389380530973451,0.6991150442477876,0.8988938053097345,9.389380530973451,0.782448377581121,0.919727138643068,0.02083333333333348,7.389380530973451,0.6157817109144542,0.8780604719764012,-0.02083333333333326
Africa_+18242+4598,Cherchell,Algeria,Africa,10.29203539823009,0.8576696165191741,0.9349389460799068,11.29203539823009,0.9410029498525074,0.9557722794132403,0.02083333333333348,9.29203539823009,0.7743362831858408,0.9141056127465735,-0.02083333333333326
Africa_+18246+4753,Ksar Chellala,Algeria,Africa,13.893805309734514,1.0,0.972016129032258,14.893805309734514,1.0,0.972016129032258,0.0,12.893805309734514,1.0,0.972016129032258,0.0
Africa_+18263+4617,Baraki,Algeria,Africa,18.58407079646018,1.0,0.9726932668329176,19.58407079646018,1.0,0.9726932668329177,1.1102230246251565e-16,17.58407079646018,1.0,0.9726932668329177,1.1102230246251565e-16
Africa_+18282+4634,Medea,Algeria,Africa,14.442477876106194,1.0,0.9719806763285024,15.442477876106194,1.0,0.9719806763285024,0.0,13.442477876106194,1.0,0.9719806763285024,0.0
Africa_+18284+4678,Ksar el Boukhari,Algeria,Africa,17.371681415929203,1.0,0.9729508196721312,18.371681415929203,1.0,0.9729508196721312,0.0,16.371681415929203,1.0,0.9729508196721312,0.0
