scheme,pol,orbit,k,n_cities,n_replicates,mean_abs_bias_db,median_abs_bias_db,instability_db,p90_abs_bias_db,mean_synthetic_ri,n_cities_agreement,spearman_delta_vs_ob_built,spearman_p
end_thinned,vh_db_mean,ASCENDING,3,549,54900,0.29251234952880983,0.22030004115967117,0.3628657763663648,0.5853567382051549,0.259294266076021,549,0.22635729895668316,8.259103264072907e-08
end_thinned,vh_db_mean,ASCENDING,4,549,54900,0.2510811858317582,0.18381665668079705,0.31210536760466245,0.5045668367786295,0.2861532058425476,549,0.20765956348187756,9.194828061403758e-07
end_thinned,vh_db_mean,ASCENDING,6,549,54900,0.200210505146482,0.15450230664780662,0.2487389269753056,0.40257593586612167,0.33088923798499326,549,0.2197235567252117,1.9903653922569657e-07
end_thinned,vh_db_mean,ASCENDING,8,549,54900,0.1701124404262573,0.1261434664292418,0.21165147619055386,0.344740994557579,0.36813252615001973,549,0.21638717737578667,3.0661889206503067e-07
end_thinned,vh_db_mean,ASCENDING,12,549,54900,0.1338417701080934,0.09905512588156107,0.16671174778100784,0.2713537652443128,0.42921046065939134,549,0.21314126836661235,4.638027087943695e-07
end_thinned,vh_db_mean,ASCENDING,16,549,54900,0.11167787452282889,0.08128812678764952,0.1392805669418312,0.22704249033148274,0.4788187973913821,549,0.2156947076011296,3.351023921563495e-07
end_thinned,vh_db_mean,DESCENDING,1,561,56100,0.5958037984529001,0.43576155162324337,0.7247840144620314,1.1487587554812375,0.1867127435704179,561,0.24995420341148042,1.941720977764628e-09
end_thinned,vh_db_mean,DESCENDING,2,561,56100,0.4112091369477118,0.3087284448494616,0.5068273288448171,0.8113310910418471,0.22742221509613564,561,0.24701921173047894,3.0322172658069166e-09
end_thinned,vh_db_mean,DESCENDING,3,561,56100,0.3335013469946718,0.2528356528327098,0.411549821526932,0.6626225067723409,0.259294266076021,561,0.23945142848909245,9.322768967803873e-09
end_thinned,vh_db_mean,DESCENDING,4,561,56100,0.28209935215793136,0.2116945939650563,0.3498591670264278,0.5667691309537565,0.2861532058425476,561,0.24177502870432155,6.629894419939815e-09
end_thinned,vh_db_mean,DESCENDING,6,561,56100,0.22736852351311282,0.17118400788834442,0.28264230850098776,0.45825672498077313,0.33088923798499326,561,0.24679149041359041,3.1381681235521617e-09
end_thinned,vh_db_mean,DESCENDING,8,561,56100,0.19261646154546955,0.1453949123181868,0.23974616949755026,0.39077068588678515,0.36813252615001973,561,0.23957322422103222,9.15847461797107e-09
end_thinned,vh_db_mean,DESCENDING,12,561,56100,0.14980589304873795,0.11295973551286487,0.18648511507785898,0.3049027658243117,0.42921046065939134,561,0.24632085729650516,3.3686507738948273e-09
end_thinned,vh_db_mean,DESCENDING,16,561,56100,0.12444638127102318,0.0946155324904705,0.15518233472642726,0.25305552213274074,0.47881879739138217,561,0.2438512993054163,4.8745099415552436e-09
end_thinned,vv_db_mean,ASCENDING,1,549,54900,0.5035643609430075,0.39555085965501924,0.6223424768627287,0.9642404615971365,0.1867127435704179,549,0.3052347081646203,2.656366608796893e-13
end_thinned,vv_db_mean,ASCENDING,2,549,54900,0.34698766715545454,0.27344536320212853,0.43183985486667253,0.6897080411275024,0.22742221509613564,549,0.31051114146772796,9.790131024532809e-14
end_thinned,vv_db_mean,ASCENDING,3,549,54900,0.2859298421822868,0.2280555839541627,0.3549367760665518,0.5733557439408893,0.259294266076021,549,0.3282380341009004,2.948588569656731e-15
end_thinned,vv_db_mean,ASCENDING,4,549,54900,0.24452098866349156,0.1962808905956006,0.3043071946648201,0.4904985797316663,0.2861532058425476,549,0.3136641506726046,5.340292882582691e-14
end_thinned,vv_db_mean,ASCENDING,6,549,54900,0.19518908452772904,0.15328410416370186,0.2433633085122732,0.39463746418215956,0.33088923798499326,549,0.3145611668157405,4.488532024291461e-14
end_thinned,vv_db_mean,ASCENDING,8,549,54900,0.16729124992589214,0.13125706370299461,0.2078880614052225,0.3366703825300518,0.36813252615001973,549,0.31015527937585574,1.0478521522266053e-13
end_thinned,vv_db_mean,ASCENDING,12,549,54900,0.13094355187393833,0.1029658573831238,0.16289303204527958,0.26562080056738346,0.42921046065939134,549,0.3198953270854531,1.5778954848897056e-14
end_thinned,vv_db_mean,ASCENDING,16,549,54900,0.10943030379015364,0.08575773708925016,0.13606442490157966,0.22159278126958992,0.4788187973913821,549,0.31590502304020324,3.456011539582712e-14
end_thinned,vv_db_mean,DESCENDING,1,561,56100,0.5618787221689298,0.45514619288465497,0.6878038024627116,1.0784579135162262,0.1867127435704179,561,0.3217481656769266,5.609242669509528e-15
end_thinned,vv_db_mean,DESCENDING,2,561,56100,0.3883071145810666,0.3156508652117722,0.4801131183077605,0.7643741211266777,0.22742221509613564,561,0.33661332796353755,2.497294672600939e-16
end_thinned,vv_db_mean,DESCENDING,3,561,56100,0.3153858400459426,0.2561562083809905,0.39059417847680983,0.6262709180186429,0.259294266076021,561,0.32670845318282044,2.023767433930684e-15
end_thinned,vv_db_mean,DESCENDING,4,561,56100,0.2703196941001273,0.2210699627919075,0.3359305643116057,0.5436846038006989,0.2861532058425476,561,0.34841623154456147,1.86635834004645e-17
end_thinned,vv_db_mean,DESCENDING,6,561,56100,0.21541583317500052,0.1736245952810851,0.267545468862663,0.43457808362561584,0.33088923798499326,561,0.3314113520520759,7.565279232164734e-16
end_thinned,vv_db_mean,DESCENDING,8,561,56100,0.1842707315558449,0.1503808097677113,0.22890851291475828,0.37107972657131694,0.36813252615001973,561,0.33504313494058086,3.497277371378783e-16
end_thinned,vv_db_mean,DESCENDING,12,561,56100,0.14341534833510375,0.11579395903781986,0.17859774846629434,0.2912179534986995,0.42921046065939134,561,0.33403828616889375,4.3340190509417654e-16
end_thinned,vv_db_mean,DESCENDING,16,561,56100,0.11817381617789786,0.09700679657217481,0.1470837135722064,0.23922551733214953,0.47881879739138217,561,0.3310006312886205,8.249756563172182e-16
