scheme,pol,orbit,k,n_cities_agreement,spearman_delta_vs_ob_built,spearman_p
start_thinned,vh_db_mean,ASCENDING,8,549,0.2116326799755126,5.609412460368873e-07
start_thinned,vh_db_mean,ASCENDING,12,549,0.21712816391006518,2.787250581131952e-07
start_thinned,vh_db_mean,ASCENDING,16,549,0.21495484514723096,3.683457182716406e-07
start_thinned,vh_db_mean,DESCENDING,1,561,0.23354372379269966,2.1831103684418806e-08
start_thinned,vh_db_mean,DESCENDING,2,561,0.2488125043572817,2.310892224241166e-09
start_thinned,vh_db_mean,DESCENDING,3,561,0.24153266063507092,6.87099244806224e-09
start_thinned,vh_db_mean,DESCENDING,4,561,0.2380546176715925,1.142358838307667e-08
start_thinned,vh_db_mean,DESCENDING,6,561,0.24759757154127213,2.7785018505897045e-09
start_thinned,vh_db_mean,DESCENDING,8,561,0.2431494106202925,5.4103277856591395e-09
start_thinned,vh_db_mean,DESCENDING,12,561,0.2424572071426471,5.994515567357874e-09
start_thinned,vh_db_mean,DESCENDING,16,561,0.24132067353243694,7.088823050632244e-09
start_thinned,vv_db_mean,ASCENDING,1,549,0.32193564175688855,1.0519691023987914e-14
start_thinned,vv_db_mean,ASCENDING,2,549,0.31867163867966414,2.009270966013879e-14
start_thinned,vv_db_mean,ASCENDING,3,549,0.31333588294102527,5.690056162080471e-14
start_thinned,vv_db_mean,ASCENDING,4,549,0.3107671417090788,9.322531036387712e-14
start_thinned,vv_db_mean,ASCENDING,6,549,0.3145189594105093,4.5254390173265505e-14
start_thinned,vv_db_mean,ASCENDING,8,549,0.308816318340144,1.3520185841473086e-13
start_thinned,vv_db_mean,ASCENDING,12,549,0.3153970474904744,3.815544728400302e-14
start_thinned,vv_db_mean,ASCENDING,16,549,0.31642529095279576,3.122256213076823e-14
start_thinned,vv_db_mean,DESCENDING,1,561,0.33110159532868555,8.07605975114711e-16
start_thinned,vv_db_mean,DESCENDING,2,561,0.3335812463254625,4.776947341273075e-16
start_thinned,vv_db_mean,DESCENDING,3,561,0.33249558554190234,6.015224539326224e-16
start_thinned,vv_db_mean,DESCENDING,4,561,0.3282359633265035,1.4728973275985593e-15
start_thinned,vv_db_mean,DESCENDING,6,561,0.3337317918311804,4.62634745520348e-16
start_thinned,vv_db_mean,DESCENDING,8,561,0.334258905000298,4.1349120294534765e-16
start_thinned,vv_db_mean,DESCENDING,12,561,0.33393925917032447,4.4264261529738015e-16
start_thinned,vv_db_mean,DESCENDING,16,561,0.33113289384127387,8.022947672301224e-16
